Beta_I,Beta_E,N,P_IFR,T_d,T_r,T_c
8.659528064555730431e-01,2.650060758099379576e-01,8.425282720066621550e+04,3.877316679444999803e-01,2.550722385736935749e+01,2.310949906328967351e+00,5.416161376012679440e+00
7.983680674581238312e-01,4.314849180546306284e-01,8.340223293347396248e+04,5.374750906367047054e-02,2.900631041553870659e+01,2.947539286960978799e+01,1.023156192858184532e+01
9.454354257370133352e-01,3.077898783975958064e-01,8.302804103482207574e+04,6.437050510388413194e-02,7.409877518613241065e+00,5.942412887091056639e+00,7.333538554056281633e+00
5.032790199509188378e-01,4.430843126902496709e-01,8.342153865248881630e+04,6.498755753834067894e-02,2.523291473057373580e+01,2.034116484406862213e+01,8.415408791613046446e+00
7.462622734559768434e-01,3.809408941794626413e-01,8.324663645365671255e+04,1.256574167160030286e-01,2.266184654923997854e+01,9.168709038009129841e+00,8.547377045897873060e+00
9.490127379630189930e-01,3.276068731714720239e-01,8.321804005153304024e+04,9.528078580754111016e-02,1.152773553026550779e+01,5.490539520215079961e+00,7.951967122013378741e+00
8.544610641068070001e-01,2.835267178307935843e-01,8.334929725347856584e+04,1.645413739755378635e-01,2.377054400571655535e+01,6.118514979464912962e+00,6.825993465486015488e+00
1.045355606085483613e+00,3.016989138998416031e-01,8.352280381810155814e+04,1.193088355918680704e-01,2.580903091421229689e+01,1.012054565427978048e+01,8.727860821657753121e+00
7.330341283188993584e-01,3.529196622771601510e-01,8.329645949454432412e+04,9.864590556459029713e-02,2.257825006991309280e+01,1.136719738843175875e+01,8.028684971197442621e+00
6.329876230450534047e-01,4.239252390843739060e-01,8.401291153247268812e+04,1.281010744324507511e-01,2.608083377892734944e+01,9.464759684043494659e+00,8.294995780424354592e+00
6.685457806223289445e-01,3.917517233475684701e-01,8.346967827864413266e+04,1.015615787884830007e-01,1.827510705402873015e+01,8.030074371148359091e+00,7.902927236048088666e+00
5.734316945814886823e-01,4.553919302815085945e-01,8.390219706272953772e+04,1.219950919733770733e-01,2.854855074556374106e+01,1.109130307110045699e+01,8.551103874284100570e+00
7.965015977755712795e-01,4.206380106734010638e-01,8.379432049585129425e+04,1.863444444198674721e-01,3.006441907361932309e+01,6.497957433366457813e+00,9.081929564238915731e+00
4.464546514301727664e-01,4.953160818518043684e-01,8.386394805418590840e+04,9.709460386984403168e-02,2.546293399016908410e+01,1.320011261065394770e+01,8.258597388462826316e+00
5.547673814436557826e-01,4.747468197007242985e-01,8.370704678360093385e+04,1.346256637862035532e-01,2.686146099736683368e+01,8.743940950721420080e+00,8.489543498169521030e+00
5.335328866368692635e-01,4.972237468918755954e-01,8.365562888455518987e+04,1.323794483128158950e-01,2.925134816438495022e+01,9.264111865413292790e+00,8.809507896585545339e+00
4.621715029076572945e-01,5.417352984523047255e-01,8.376447694005975791e+04,1.440201904168151859e-01,2.666646309741103948e+01,8.109921490861927040e+00,8.973813066160390761e+00
4.989852520350370191e-01,5.189034309972421211e-01,8.350821660463280568e+04,1.209152756481093327e-01,1.792629264241794473e+01,6.756932027304712207e+00,8.681351776851622404e+00
4.323013662448987326e-01,5.526448243673927063e-01,8.364114301761561364e+04,1.326348835739414311e-01,2.380222114956002599e+01,7.733419299163108107e+00,8.821338811719053652e+00
4.241706511815238057e-01,5.530064344228345918e-01,8.374293048081867164e+04,1.188589075792671756e-01,2.559759209245288858e+01,9.451866144105744993e+00,9.016241592876905742e+00
5.470733169142835139e-01,1.752274590094844431e-01,8.289504705183883198e+04,7.975581629990602384e-02,2.923803439456174402e+01,1.882494316131161582e+01,3.857094301764108835e+00
7.944353006894410152e-01,3.229591058864700326e-01,8.306688680418336298e+04,4.993261372610875715e-02,1.795503378401276251e+01,2.157547337457447156e+01,7.502632684538245833e+00
6.562108034361481268e-01,3.579620537583504958e-01,8.297631112070144445e+04,7.851875804749008925e-02,2.732116746886255143e+01,1.681534816925266895e+01,8.048812362756352812e+00
2.027220431204025675e-01,7.176933183246763104e-01,8.447015764059606590e+04,4.319241138999231622e-02,1.313592795820656889e+01,1.512682888565130668e+01,1.040386879934635900e+01
5.302095221273804837e-01,4.455838008616708201e-01,8.393385005302228092e+04,5.929787492320873210e-02,2.784143124612968379e+01,2.540304923396938364e+01,9.031245091786924917e+00
1.108413678243916900e+00,2.041406545220935675e-01,8.450020903441880364e+04,8.540708859265629116e-02,2.036470342051526217e+01,1.196153436407014325e+01,8.179635182529727544e+00
5.036614690841491049e-01,4.963381853606353977e-01,8.405613275076799619e+04,6.468546002776640047e-02,2.362631360517007195e+01,1.848118759342809625e+01,8.931078478227286510e+00
9.111210941193602642e-01,3.026676134378851191e-01,8.380451685890207591e+04,1.219306890385202652e-01,3.161998756023992385e+01,1.085812196632848448e+01,8.193152767989687391e+00
8.632738150548501244e-01,3.184619866368952890e-01,8.354266443293991324e+04,8.430963225970963815e-02,2.221439661667178100e+01,1.201131045594197744e+01,8.282247198514161468e+00
7.009215205521002190e-01,4.030812389590003320e-01,8.331924388732285297e+04,1.146601658306559551e-01,2.673978758811838219e+01,1.046267566114973135e+01,8.336425636776326087e+00
5.531218738819099201e-01,4.400304321064378854e-01,8.353944936170718574e+04,7.881643058082822562e-02,2.488796959704585987e+01,1.564465271046954520e+01,8.439965378518852646e+00
7.154704725393287168e-01,3.742221868466127366e-01,8.347965358755722991e+04,6.655519625395896199e-02,2.054576605695180191e+01,1.725816142006938847e+01,8.369953768410276496e+00
