date,state,city,dead,confirmed,day
2020-03-05,RJ,Barra Mansa/RJ,0,1,0
2020-03-06,RJ,Barra Mansa/RJ,0,1,1
2020-03-06,RJ,Rio de Janeiro/RJ,0,1,1
2020-03-07,RJ,Barra Mansa/RJ,0,1,2
2020-03-07,RJ,Rio de Janeiro/RJ,0,1,2
2020-03-08,RJ,Barra Mansa/RJ,0,1,3
2020-03-08,RJ,Rio de Janeiro/RJ,0,2,3
2020-03-09,RJ,Barra Mansa/RJ,0,1,4
2020-03-09,RJ,Rio de Janeiro/RJ,0,2,4
2020-03-10,RJ,Barra Mansa/RJ,0,1,5
2020-03-10,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,0,5,5
2020-03-10,RJ,Rio de Janeiro/RJ,0,2,5
2020-03-11,RJ,Barra Mansa/RJ,0,1,6
2020-03-11,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,0,10,6
2020-03-11,RJ,Rio de Janeiro/RJ,0,2,6
2020-03-12,RJ,Barra Mansa/RJ,0,1,7
2020-03-12,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,0,1,7
2020-03-12,RJ,Niterói/RJ,0,1,7
2020-03-12,RJ,Rio de Janeiro/RJ,0,13,7
2020-03-13,RJ,Barra Mansa/RJ,0,1,8
2020-03-13,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,0,1,8
2020-03-13,RJ,Niterói/RJ,0,1,8
2020-03-13,RJ,Rio de Janeiro/RJ,0,13,8
2020-03-14,RJ,Barra Mansa/RJ,0,1,9
2020-03-14,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,0,7,9
2020-03-14,RJ,Niterói/RJ,0,1,9
2020-03-14,RJ,Rio de Janeiro/RJ,0,13,9
2020-03-15,RJ,Barra Mansa/RJ,0,1,10
2020-03-15,RJ,Niterói/RJ,0,1,10
2020-03-15,RJ,Rio de Janeiro/RJ,0,22,10
2020-03-16,RJ,Barra Mansa/RJ,0,1,11
2020-03-16,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,0,6,11
2020-03-16,RJ,Niterói/RJ,0,1,11
2020-03-16,RJ,Rio de Janeiro/RJ,0,23,11
2020-03-17,RJ,Barra Mansa/RJ,0,1,12
2020-03-17,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,0,8,12
2020-03-17,RJ,Niterói/RJ,0,1,12
2020-03-17,RJ,Rio de Janeiro/RJ,0,23,12
2020-03-18,RJ,Barra Mansa/RJ,0,1,13
2020-03-18,RJ,Guapimirim/RJ,0,1,13
2020-03-18,RJ,Niterói/RJ,0,6,13
2020-03-18,RJ,Rio de Janeiro/RJ,0,55,13
2020-03-19,RJ,Barra Mansa/RJ,0,1,14
2020-03-19,RJ,Guapimirim/RJ,0,1,14
2020-03-19,RJ,Miguel Pereira/RJ,1,1,14
2020-03-19,RJ,Niterói/RJ,1,7,14
2020-03-19,RJ,Rio de Janeiro/RJ,0,56,14
2020-03-20,RJ,Barra Mansa/RJ,0,1,15
2020-03-20,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,0,43,15
2020-03-20,RJ,Guapimirim/RJ,0,1,15
2020-03-20,RJ,Miguel Pereira/RJ,1,1,15
2020-03-20,RJ,Niterói/RJ,1,7,15
2020-03-20,RJ,Rio de Janeiro/RJ,0,56,15
2020-03-21,RJ,Barra Mansa/RJ,0,1,16
2020-03-21,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,0,4,16
2020-03-21,RJ,Guapimirim/RJ,0,1,16
2020-03-21,RJ,Miguel Pereira/RJ,1,1,16
2020-03-21,RJ,Niterói/RJ,1,10,16
2020-03-21,RJ,Petrópolis/RJ,1,3,16
2020-03-21,RJ,Rio de Janeiro/RJ,0,99,16
2020-03-22,RJ,Barra Mansa/RJ,0,1,17
2020-03-22,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,0,2,17
2020-03-22,RJ,Guapimirim/RJ,0,1,17
2020-03-22,RJ,Miguel Pereira/RJ,1,1,17
2020-03-22,RJ,Niterói/RJ,1,10,17
2020-03-22,RJ,Petrópolis/RJ,1,3,17
2020-03-22,RJ,Rio de Janeiro/RJ,0,168,17
2020-03-23,RJ,Barra Mansa/RJ,0,1,18
2020-03-23,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,0,2,18
2020-03-23,RJ,Guapimirim/RJ,0,1,18
2020-03-23,RJ,Miguel Pereira/RJ,1,1,18
2020-03-23,RJ,Niterói/RJ,1,10,18
2020-03-23,RJ,Petrópolis/RJ,1,3,18
2020-03-23,RJ,Rio de Janeiro/RJ,1,212,18
2020-03-23,RJ,São Gonçalo/RJ,0,3,18
2020-03-24,RJ,Barra Mansa/RJ,0,1,19
2020-03-24,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,0,2,19
2020-03-24,RJ,Campos dos Goytacazes/RJ,0,1,19
2020-03-24,RJ,Duque de Caxias/RJ,0,1,19
2020-03-24,RJ,Guapimirim/RJ,0,1,19
2020-03-24,RJ,Miguel Pereira/RJ,1,1,19
2020-03-24,RJ,Niterói/RJ,1,12,19
2020-03-24,RJ,Petrópolis/RJ,1,3,19
2020-03-24,RJ,Rio de Janeiro/RJ,3,276,19
2020-03-24,RJ,São Gonçalo/RJ,0,3,19
2020-03-24,RJ,Volta Redonda/RJ,0,4,19
2020-03-25,RJ,Barra Mansa/RJ,0,1,20
2020-03-25,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,0,0,20
2020-03-25,RJ,Campos dos Goytacazes/RJ,0,1,20
2020-03-25,RJ,Duque de Caxias/RJ,0,2,20
2020-03-25,RJ,Guapimirim/RJ,0,1,20
2020-03-25,RJ,Miguel Pereira/RJ,1,1,20
2020-03-25,RJ,Niterói/RJ,1,19,20
2020-03-25,RJ,Petrópolis/RJ,1,3,20
2020-03-25,RJ,Resende/RJ,0,1,20
2020-03-25,RJ,Rio de Janeiro/RJ,5,331,20
2020-03-25,RJ,São Gonçalo/RJ,0,3,20
2020-03-25,RJ,Valença/RJ,0,1,20
2020-03-25,RJ,Volta Redonda/RJ,0,6,20
2020-03-26,RJ,Barra Mansa/RJ,0,1,21
2020-03-26,RJ,Belford Roxo/RJ,0,1,21
2020-03-26,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,0,0,21
2020-03-26,RJ,Campos dos Goytacazes/RJ,0,1,21
2020-03-26,RJ,Duque de Caxias/RJ,0,2,21
2020-03-26,RJ,Guapimirim/RJ,0,1,21
2020-03-26,RJ,Miguel Pereira/RJ,1,1,21
2020-03-26,RJ,Niterói/RJ,1,31,21
2020-03-26,RJ,Petrópolis/RJ,1,3,21
2020-03-26,RJ,Resende/RJ,0,1,21
2020-03-26,RJ,Rio de Janeiro/RJ,6,368,21
2020-03-26,RJ,São Gonçalo/RJ,0,3,21
2020-03-26,RJ,Valença/RJ,0,1,21
2020-03-26,RJ,Volta Redonda/RJ,0,7,21
2020-03-27,RJ,Barra Mansa/RJ,0,1,22
2020-03-27,RJ,Belford Roxo/RJ,0,1,22
2020-03-27,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,0,0,22
2020-03-27,RJ,Campos dos Goytacazes/RJ,0,1,22
2020-03-27,RJ,Duque de Caxias/RJ,0,3,22
2020-03-27,RJ,Guapimirim/RJ,0,1,22
2020-03-27,RJ,Itaboraí/RJ,0,1,22
2020-03-27,RJ,Miguel Pereira/RJ,1,1,22
2020-03-27,RJ,Niterói/RJ,1,36,22
2020-03-27,RJ,Petrópolis/RJ,1,3,22
2020-03-27,RJ,Resende/RJ,0,0,22
2020-03-27,RJ,Rio de Janeiro/RJ,6,431,22
2020-03-27,RJ,São Gonçalo/RJ,0,4,22
2020-03-27,RJ,Valença/RJ,0,1,22
2020-03-27,RJ,Volta Redonda/RJ,1,9,22
2020-03-28,RJ,Barra Mansa/RJ,0,1,23
2020-03-28,RJ,Belford Roxo/RJ,0,1,23
2020-03-28,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,0,0,23
2020-03-28,RJ,Campos dos Goytacazes/RJ,0,1,23
2020-03-28,RJ,Duque de Caxias/RJ,0,3,23
2020-03-28,RJ,Guapimirim/RJ,0,1,23
2020-03-28,RJ,Itaboraí/RJ,0,2,23
2020-03-28,RJ,Mangaratiba/RJ,0,1,23
2020-03-28,RJ,Miguel Pereira/RJ,1,1,23
2020-03-28,RJ,Niterói/RJ,1,37,23
2020-03-28,RJ,Nova Iguaçu/RJ,0,1,23
2020-03-28,RJ,Petrópolis/RJ,1,3,23
2020-03-28,RJ,Resende/RJ,0,1,23
2020-03-28,RJ,Rio de Janeiro/RJ,9,489,23
2020-03-28,RJ,São Gonçalo/RJ,0,4,23
2020-03-28,RJ,Valença/RJ,0,1,23
2020-03-28,RJ,Volta Redonda/RJ,1,11,23
2020-03-29,RJ,Barra Mansa/RJ,0,1,24
2020-03-29,RJ,Belford Roxo/RJ,0,2,24
2020-03-29,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,0,0,24
2020-03-29,RJ,Campos dos Goytacazes/RJ,0,1,24
2020-03-29,RJ,Duque de Caxias/RJ,0,5,24
2020-03-29,RJ,Guapimirim/RJ,0,1,24
2020-03-29,RJ,Itaboraí/RJ,0,3,24
2020-03-29,RJ,Mangaratiba/RJ,0,1,24
2020-03-29,RJ,Maricá/RJ,0,1,24
2020-03-29,RJ,Miguel Pereira/RJ,1,1,24
2020-03-29,RJ,Niterói/RJ,1,39,24
2020-03-29,RJ,Nova Iguaçu/RJ,0,3,24
2020-03-29,RJ,Petrópolis/RJ,1,4,24
2020-03-29,RJ,Resende/RJ,0,1,24
2020-03-29,RJ,Rio das Ostras/RJ,0,2,24
2020-03-29,RJ,Rio de Janeiro/RJ,13,516,24
2020-03-29,RJ,Seropédica/RJ,0,1,24
2020-03-29,RJ,São Gonçalo/RJ,0,6,24
2020-03-29,RJ,Valença/RJ,0,1,24
2020-03-29,RJ,Volta Redonda/RJ,1,11,24
2020-03-30,RJ,Angra dos Reis/RJ,0,1,25
2020-03-30,RJ,Barra Mansa/RJ,0,1,25
2020-03-30,RJ,Belford Roxo/RJ,0,2,25
2020-03-30,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,0,0,25
2020-03-30,RJ,Campos dos Goytacazes/RJ,0,1,25
2020-03-30,RJ,Duque de Caxias/RJ,0,5,25
2020-03-30,RJ,Guapimirim/RJ,0,1,25
2020-03-30,RJ,Itaboraí/RJ,0,3,25
2020-03-30,RJ,Mangaratiba/RJ,0,1,25
2020-03-30,RJ,Maricá/RJ,0,1,25
2020-03-30,RJ,Miguel Pereira/RJ,1,1,25
2020-03-30,RJ,Niterói/RJ,1,47,25
2020-03-30,RJ,Nova Iguaçu/RJ,0,7,25
2020-03-30,RJ,Petrópolis/RJ,1,4,25
2020-03-30,RJ,Queimados/RJ,0,1,25
2020-03-30,RJ,Resende/RJ,0,2,25
2020-03-30,RJ,Rio Bonito/RJ,1,2,25
2020-03-30,RJ,Rio das Ostras/RJ,0,2,25
2020-03-30,RJ,Rio de Janeiro/RJ,13,553,25
2020-03-30,RJ,Seropédica/RJ,0,1,25
2020-03-30,RJ,São Gonçalo/RJ,0,7,25
2020-03-30,RJ,São João de Meriti/RJ,0,1,25
2020-03-30,RJ,Teresópolis/RJ,0,1,25
2020-03-30,RJ,Valença/RJ,0,1,25
2020-03-30,RJ,Volta Redonda/RJ,1,11,25
2020-03-31,RJ,Angra dos Reis/RJ,0,1,26
2020-03-31,RJ,Barra Mansa/RJ,0,2,26
2020-03-31,RJ,Belford Roxo/RJ,0,2,26
2020-03-31,RJ,CASO SEM LOCALIZAÇÃO DEFINIDA/RJ,0,0,26
2020-03-31,RJ,Campos dos Goytacazes/RJ,0,1,26
2020-03-31,RJ,Duque de Caxias/RJ,0,5,26
2020-03-31,RJ,Guapimirim/RJ,0,1,26
2020-03-31,RJ,Itaboraí/RJ,0,3,26
2020-03-31,RJ,Macaé/RJ,0,1,26
2020-03-31,RJ,Mangaratiba/RJ,0,1,26
2020-03-31,RJ,Maricá/RJ,0,2,26
2020-03-31,RJ,Miguel Pereira/RJ,1,1,26
2020-03-31,RJ,Niterói/RJ,1,57,26
2020-03-31,RJ,Nova Iguaçu/RJ,0,7,26
2020-03-31,RJ,Petrópolis/RJ,1,5,26
2020-03-31,RJ,Queimados/RJ,0,1,26
2020-03-31,RJ,Resende/RJ,0,2,26
2020-03-31,RJ,Rio Bonito/RJ,1,2,26
2020-03-31,RJ,Rio das Ostras/RJ,0,2,26
2020-03-31,RJ,Rio de Janeiro/RJ,18,586,26
2020-03-31,RJ,Seropédica/RJ,0,1,26
2020-03-31,RJ,São Gonçalo/RJ,0,9,26
2020-03-31,RJ,São João de Meriti/RJ,0,1,26
2020-03-31,RJ,São Pedro da Aldeia/RJ,0,1,26
2020-03-31,RJ,Teresópolis/RJ,0,1,26
2020-03-31,RJ,Valença/RJ,0,1,26
2020-03-31,RJ,Volta Redonda/RJ,1,12,26
2020-04-01,RJ,Angra dos Reis/RJ,0,1,27
